,Dateof_Listing,Term,LoanStatus,BorrowerRate,Prosper_Rating,Listing,Occupation,EmploymentStatus,HomeOwner,DelinquenciesLast7Years,MonthlyIncome,LoanKey,OnTimeProsperPayments,Amountof_Loan
198,2010-08-01 08:26:42.480,36,Completed,0.2575,D,7,Professional,Employed,False,0.0,10000.0,E2EF3594733023807776A7A,31.0,3000
218,2013-03-07 15:46:17.840,36,Chargedoff,0.1559,B,1,Other,Self-employed,True,0.0,4416.666667,FF073677510501617068405,12.0,10000
221,2013-05-20 14:27:47.717,60,Current,0.1334,A,2,Other,Employed,False,0.0,5391.583333,395336829032361097BC8B4,27.0,15000
225,2012-10-25 17:48:30.273,36,Current,0.1939,C,18,Nurse (RN),Employed,True,22.0,8333.333333,6A2E3666420694747073640,9.0,5000
233,2012-12-08 09:12:52.747,36,Current,0.2346,D,2,Other,Other,False,0.0,2166.666667,8EFC366933135820401FB97,9.0,3500
239,2012-03-08 09:39:25.537,36,Completed,0.0899,A,7,Professional,Employed,True,0.0,6000.0,FC3A3645161677847BF23DE,18.0,2000
242,2010-12-09 09:46:00.233,36,Completed,0.322,E,1,Professional,Employed,True,0.0,4504.166667,CE933606548984344E93142,28.0,7500
244,2013-06-21 12:19:50.243,36,Current,0.2932,E,14,Truck Driver,Employed,False,0.0,5250.0,35963684884488763350FE7,12.0,4000
248,2009-10-27 18:33:52.867,36,Completed,0.201,C,1,Administrative Assistant,Full-time,False,0.0,4333.333333,7A3C357134717718161464C,16.0,1500
257,2014-02-12 07:04:36.607,36,Current,0.1139,A,1,Clerical,Employed,False,0.0,11416.666667,5D643705641230116AD388E,26.0,11000
263,2012-12-10 06:33:30.860,36,Current,0.1034,A,6,Professional,Employed,False,0.0,4000.0,E6E33669095477661F3DEBA,3.0,7000
269,2010-05-12 09:32:44.070,36,Completed,0.3495,HR,1,Other,Full-time,False,0.0,3958.333333,311D35880623947619D7931,34.0,2500
277,2014-02-18 12:59:08.680,60,Current,0.1355,B,1,Other,Full-time,False,0.0,6833.333333,432C37074700402280777BE,74.0,20000
279,2012-08-30 10:31:05.053,60,Current,0.1364,A,15,Scientist,Employed,False,0.0,4166.666667,CA7E3661438639324DBB5C1,13.0,3000
280,2012-08-27 11:47:10.073,36,Completed,0.3177,HR,18,Engineer - Mechanical,Employed,True,0.0,6666.666667,BA4436607170538270ECA80,9.0,4000
284,2012-04-05 08:11:01.317,36,Chargedoff,0.1874,C,15,Accountant/CPA,Employed,False,0.0,6000.0,77A73648787558074A52E9B,35.0,7000
297,2012-03-09 06:22:27.633,36,Chargedoff,0.2287,D,1,Other,Full-time,False,0.0,2000.0,7D313644286815404C0A7D0,12.0,5025
300,2011-05-11 05:54:36.187,36,Current,0.2199,D,7,Computer Programmer,Employed,True,10.0,7208.333333,21AF3618800595473A608E6,32.0,4200
304,2012-06-25 14:56:30.260,36,Current,0.2287,D,11,Professional,Employed,False,0.0,5000.0,569836546122867165EDEB5,9.0,2000
317,2013-05-20 17:08:10.063,60,Current,0.1519,B,18,Professional,Employed,False,6.0,4583.333333,DEEC3681942557402882D20,16.0,15000
322,2012-06-13 14:28:36.033,36,Current,0.0964,A,1,Analyst,Employed,False,0.0,8750.0,81E43653732826368EE1283,10.0,16500
327,2014-02-06 15:25:07.490,60,Current,0.1465,B,1,Professional,Employed,False,21.0,7083.333333,9FBD370590237793239A53F,2.0,11000
331,2012-04-08 22:24:50.183,36,Current,0.2999,E,18,Other,Self-employed,False,12.0,1500.0,780C3648774925946A95C9F,35.0,2500
334,2013-02-22 12:37:48.757,36,Current,0.1734,C,2,Executive,Employed,True,0.0,27500.0,78B436750528046526B99BF,6.0,12000
337,2012-10-08 09:24:16.113,36,Current,0.1734,C,2,Retail Management,Self-employed,True,0.0,2916.666667,D8EF366409626107864E316,34.0,2000
340,2013-08-08 10:38:23.200,36,Current,0.0849,AA,13,Waiter/Waitress,Employed,False,3.0,4500.0,BB2B3690979164817C0494A,2.0,7000
343,2013-05-30 15:44:39.787,60,Current,0.1769,B,2,Tradesman - Electrician,Employed,True,0.0,6250.0,2369368540392488817B147,27.0,10000
352,2012-02-02 08:42:24.493,60,Current,0.2443,C,7,Executive,Employed,True,27.0,8500.0,FDA736412344301600C4DA7,12.0,15000
354,2009-10-24 06:33:50.757,36,Completed,0.34,HR,3,Truck Driver,Self-employed,False,0.0,4166.666667,78B63603458136306AB422A,27.0,2500
361,2011-05-08 09:09:36.427,36,Completed,0.2899,E,1,Clerical,Full-time,False,20.0,3500.0,67E7361868868174641A56B,54.0,4500
364,2011-10-02 21:09:36.770,36,Current,0.3125,HR,1,Bus Driver,Full-time,False,0.0,4166.666667,A2B136326605392079E0800,33.0,4000
379,2010-11-15 15:54:39.747,36,Defaulted,0.26,HR,1,Other,Full-time,False,0.0,3163.333333,7106360525287128122FEDC,63.0,4000
391,2012-05-22 06:11:55.710,36,Defaulted,0.1902,C,1,Other,Employed,True,0.0,3631.166667,459B3651376024902D83574,5.0,3000
397,2013-04-20 16:01:29.307,60,Chargedoff,0.2969,E,15,Professional,Full-time,False,21.0,4166.666667,9B083680584696573BC02FA,50.0,4000
398,2013-08-19 15:05:56.923,36,Current,0.1299,A,18,Professional,Employed,True,0.0,8220.916667,5D923691421795748121586,7.0,15000
406,2010-02-15 12:53:31.610,36,Chargedoff,0.325,D,2,Architect,Full-time,True,7.0,8083.333333,FDF63580685545948001CEE,32.0,8000
407,2012-03-15 20:09:59.610,60,Completed,0.3304,E,1,Computer Programmer,Employed,True,15.0,7083.333333,302436452029090160CFE51,33.0,4000
414,2011-10-17 12:28:39.997,36,Completed,0.111,A,1,Computer Programmer,Full-time,True,0.0,6083.333333,6BDE3634152942158F9A46B,34.0,10000
416,2013-08-24 04:58:54.307,36,Current,0.3075,HR,7,Food Service,Employed,False,0.0,4437.916667,F0F23695234233417538804,21.0,4000
419,2013-05-16 19:43:43.153,36,Defaulted,0.3134,HR,13,Other,Other,False,0.0,1061.0,02CF3683944361774572DE2,19.0,4000
430,2012-06-26 05:31:41.677,36,Current,0.1199,A,20,Clerical,Employed,False,0.0,2375.0,189E36572207021175CDD38,38.0,10000
434,2013-06-06 15:56:51.693,60,Current,0.0869,AA,6,Civil Service,Employed,True,0.0,14166.666667,81EF3685958429801E1BADB,15.0,3500
436,2010-11-19 07:35:59.007,36,Chargedoff,0.274,D,3,Executive,Full-time,True,0.0,3033.333333,1A5D36055851602094F76C8,27.0,7500
437,2012-02-22 07:12:34.750,36,Current,0.0899,A,1,Professional,Employed,False,0.0,7083.333333,2E6436447733450358E24C5,7.0,3000
451,2011-11-17 19:35:52.030,36,Completed,0.1609,B,1,Administrative Assistant,Employed,False,0.0,2884.583333,F0A13635999859921B205CB,42.0,7000
462,2013-03-10 10:23:58.167,60,Current,0.1579,B,13,Skilled Labor,Employed,True,4.0,4166.666667,3D7936766314255837821A9,9.0,16000
463,2013-05-20 05:57:05.243,60,Current,0.1269,A,1,Doctor,Employed,True,0.0,12500.0,F2693683709682503E9DFAC,39.0,10000
466,2012-03-16 08:27:10.850,36,Completed,0.1449,B,15,Police Officer/Correction Officer,Full-time,True,17.0,3083.333333,CDDD36451985556892EB673,35.0,2500
474,2013-02-01 07:52:32.933,36,Current,0.0799,AA,20,Other,Full-time,True,0.0,10000.0,9C1F367472998524941DBCA,34.0,6000
476,2014-03-06 08:54:42.840,60,Current,0.1224,B,1,Other,Employed,False,0.0,13083.333333,31AA37076319885078838B3,61.0,15000
477,2012-07-24 04:09:36.213,60,Current,0.3057,E,14,Other,Full-time,False,0.0,4583.333333,D0B73657707000138559EF0,39.0,7500
491,2014-01-06 07:18:54.173,60,Current,0.15,B,1,Analyst,Employed,True,0.0,8166.666667,E9343703584438050F83A54,6.0,25000
501,2010-05-30 18:37:24.953,36,Chargedoff,0.21,HR,7,Sales - Commission,Full-time,False,0.0,2500.0,202835903671936416AC795,23.0,1000
515,2013-02-08 10:31:17.373,60,Current,0.0949,A,1,Analyst,Employed,False,0.0,6250.0,EF6B3674077494258EA1CCE,8.0,5000
517,2013-02-27 06:52:13.943,60,Current,0.1099,A,6,Teacher's Aide,Employed,False,0.0,5998.083333,676A367616049155445DAF8,95.0,4200
531,2012-08-28 05:06:28.960,12,Completed,0.1279,B,15,Executive,Full-time,True,0.0,5666.666667,398836604196460655E8E44,56.0,2000
534,2013-06-03 09:07:12.000,36,Current,0.2786,E,2,Professional,Employed,True,0.0,6666.666667,8FFE3683607167097701F1A,7.0,3500
540,2013-11-15 15:12:11.190,36,Current,0.173,C,14,Truck Driver,Self-employed,False,0.0,18333.333333,E2043697796709930697CAF,63.0,15000
548,2013-05-17 08:11:08.867,36,Current,0.2346,D,1,Religious,Employed,True,3.0,4583.333333,5FB3368362443955937DE86,53.0,4000
551,2011-10-09 21:43:47.123,36,Completed,0.2574,D,1,Truck Driver,Employed,False,0.0,2083.333333,7B4E3632077309379617ABD,48.0,4000
561,2013-04-08 11:30:47.260,36,Completed,0.2199,D,18,Other,Employed,True,6.0,6000.0,ABD9367883542843717FAEA,7.0,3200
567,2009-10-28 09:15:51.650,36,Completed,0.26,HR,2,Engineer - Mechanical,Full-time,True,1.0,3416.666667,A22F35712901903087BF5B4,8.0,2100
572,2012-12-19 14:02:47.133,60,Current,0.2118,C,13,Professional,Full-time,False,0.0,4166.666667,B4B63669887888316228535,9.0,7500
573,2013-12-31 07:14:06.463,36,Current,0.1139,A,1,Executive,Employed,False,10.0,5833.333333,27013702008632747233195,66.0,6200
575,2013-01-09 13:50:08.893,60,Completed,0.2962,E,1,Truck Driver,Employed,False,19.0,3083.333333,F5B33671898332987BC9BB5,25.0,2100
588,2011-09-20 09:08:03.377,36,Completed,0.1129,A,1,Clerical,Employed,True,0.0,4916.666667,A8EF3631065138536A63306,2.0,25000
601,2012-12-03 10:13:15.167,36,Current,0.2932,E,1,Professional,Employed,False,0.0,7083.333333,A5FB366979117137615B8F6,18.0,4000
603,2013-07-07 08:12:56.060,36,Current,0.2566,D,1,Other,Employed,False,0.0,3964.583333,E44E36863495550021BE0F1,50.0,4000
606,2013-03-07 08:14:55.623,36,Current,0.0849,AA,1,Analyst,Employed,False,0.0,7166.666667,BCFE3676190230899C975B3,10.0,5000
611,2012-09-13 10:07:59.230,60,Current,0.1499,A,1,Executive,Employed,True,0.0,26666.666667,863F366418409180825CCD1,6.0,25000
613,2011-12-19 07:05:07.160,36,Completed,0.0974,A,1,Other,Employed,False,0.0,13333.333333,61A036391687949244C0109,6.0,20500
623,2010-05-10 08:46:09.327,36,Chargedoff,0.2725,D,1,Other,Part-time,True,1.0,2500.0,18313588675277116310A09,27.0,5000
624,2012-09-01 11:21:52.740,60,Current,0.2632,D,1,Clergy,Employed,False,0.0,3429.166667,953936610665640869F99B3,9.0,7500
634,2011-09-30 09:00:14.257,36,Completed,0.3125,HR,3,Other,Self-employed,False,0.0,3500.0,E2BF36325696373875126D5,4.0,4000
640,2013-12-10 13:39:07.220,36,Current,0.0879,A,2,Professional,Employed,True,0.0,14166.666667,A4853704028916667E38E8F,28.0,10000
642,2013-04-19 14:43:46.047,36,Current,0.0699,AA,1,Engineer - Mechanical,Full-time,True,0.0,7916.666667,69FE3680958425275E4097A,32.0,11000
643,2013-11-24 21:04:12.040,36,Current,0.162,C,15,Executive,Employed,True,0.0,8083.333333,85223699482964802A9382F,0.0,15000
653,2013-05-02 13:36:00.457,60,Current,0.2672,D,1,Other,Employed,True,0.0,16333.333333,8037368626701727810C731,7.0,15000
656,2010-02-08 08:26:22.930,36,Completed,0.199,C,2,Other,Retired,True,2.0,5000.0,97C7358088318727769E158,33.0,2500
658,2013-06-29 11:39:41.687,60,Completed,0.0869,AA,1,Analyst,Employed,True,0.0,10000.0,E555368680323205273A799,28.0,10000
669,2011-09-27 07:53:17.947,36,Current,0.3099,E,3,Professional,Employed,False,2.0,4166.666667,289B362993940493025C5A8,12.0,4400
673,2012-07-16 20:30:36.303,60,Past Due (61-90 days),0.1385,A,7,Other,Employed,True,0.0,3666.666667,FAD136571272719595ADD46,7.0,22500
682,2013-12-26 12:50:50.263,60,Current,0.1239,A,1,Other,Employed,False,0.0,6000.0,B09437034834717177FC955,35.0,7000
685,2013-06-13 03:52:02.277,60,Current,0.1519,B,2,Skilled Labor,Employed,True,0.0,6166.666667,17583684894155659B3A267,4.0,10000
686,2012-06-19 13:32:24.883,36,Current,0.2287,D,1,Other,Employed,True,6.0,4416.666667,42283653763289924D500E5,6.0,2300
690,2013-11-03 08:48:26.140,60,Current,0.1099,A,2,Other,Employed,True,0.0,4500.0,8097369821329919558AB3E,76.0,15000
701,2013-05-22 16:03:36.833,60,Current,0.1819,B,9,Professional,Employed,True,0.0,5833.333333,D7F23683532900575211D59,7.0,15000
703,2010-05-26 12:50:25.737,36,Completed,0.0714,AA,1,Administrative Assistant,Part-time,False,0.0,1666.666667,544B359012627469634C261,6.0,1000
704,2012-06-29 13:32:42.087,60,Current,0.3304,E,2,Nurse's Aide,Full-time,False,0.0,2250.0,857C3656110963834E6FAEB,46.0,4000
710,2010-09-14 06:47:12.347,36,Completed,0.1365,B,3,Professional,Employed,True,0.0,9083.333333,9FC33599043010747B376BA,35.0,15000
717,2010-05-19 16:16:10.840,36,Completed,0.35,HR,1,Tradesman - Mechanic,Full-time,True,0.0,6250.0,7CE3358937395690295954A,12.0,4000
718,2013-06-08 22:54:45.570,36,Chargedoff,0.1509,B,1,Police Officer/Correction Officer,Employed,False,0.0,2715.666667,1356368576776300970E32D,12.0,10000
720,2011-05-22 18:01:55.357,36,Completed,0.0799,AA,1,Other,Employed,True,0.0,10000.0,D2BB3625742745612AB1499,20.0,14000
723,2013-12-03 17:03:31.803,36,Current,0.1099,A,1,Other,Employed,True,8.0,5833.333333,53F43702394017315BB80AF,9.0,4000
724,2009-10-19 22:50:42.500,36,Completed,0.2371,C,1,Computer Programmer,Full-time,False,0.0,6250.0,3D4B35700469056084F38D5,13.0,4500
726,2012-02-21 13:14:54.053,36,Completed,0.0899,A,2,Police Officer/Correction Officer,Employed,False,0.0,3500.0,608C3644668808221745707,16.0,6000
727,2012-05-14 16:21:31.590,12,Completed,0.1304,C,1,Accountant/CPA,Employed,True,16.0,2625.0,4D513650859387421002E7F,67.0,2000
745,2010-05-04 16:49:44.823,36,Completed,0.199,C,1,Analyst,Full-time,True,8.0,4166.666667,B59735874833528675D5CDD,16.0,4000
752,2013-07-17 10:17:48.733,36,Completed,0.1299,A,1,Truck Driver,Self-employed,False,3.0,12500.0,4F4F36889269426626BA01D,13.0,3500
753,2012-01-06 10:45:32.743,36,Completed,0.3073,E,1,Sales - Commission,Employed,True,14.0,2250.0,3D173639366384473A53718,13.0,4000
760,2010-01-01 14:46:53.843,36,Completed,0.2,HR,1,Professional,Full-time,True,0.0,6250.0,9A9035786327334736D1DF2,20.0,1500
765,2013-12-02 07:36:43.197,60,Current,0.1314,B,1,Computer Programmer,Employed,True,0.0,8458.25,219D3699577579055CD3588,7.0,15000
767,2013-08-16 12:39:05.190,60,Current,0.1169,A,3,Other,Employed,True,0.0,2833.333333,D0A53691501388279668A96,1.0,7000
769,2011-07-26 08:08:35.617,36,Current,0.1899,C,1,Executive,Full-time,True,0.0,14833.333333,EE25362553226772819D2DE,11.0,2500
775,2013-08-21 12:37:08.067,60,Current,0.1334,A,1,Professional,Employed,True,0.0,6833.333333,D191369090973674375F083,14.0,10000
779,2014-01-17 14:55:40.860,60,Current,0.162,C,1,Nurse (RN),Employed,True,0.0,7500.0,2784370395357463324E841,20.0,23000
792,2012-09-29 08:36:48.927,36,Chargedoff,0.2324,D,7,Professional,Employed,True,0.0,5416.666667,8B363663779613394DFDA2E,10.0,15000
845,2013-07-23 10:46:53.227,60,Completed,0.1169,A,1,Sales - Commission,Self-employed,False,0.0,5000.0,5C043689210312918BB9028,7.0,10000
850,2012-10-14 20:10:01.070,36,Current,0.0974,A,1,Professional,Employed,False,13.0,8658.333333,348A3664050408231CC37F0,29.0,13800
854,2013-12-12 11:08:56.630,60,Current,0.1239,A,1,Professional,Employed,False,0.0,5416.666667,4F0C3700225440745D1F457,3.0,15000
860,2013-04-20 10:52:51.647,36,Current,0.1359,B,1,Administrative Assistant,Employed,False,0.0,3166.666667,6FE83680756297895E1A6A5,4.0,7000
864,2013-11-13 10:43:29.130,60,Current,0.197,C,1,Other,Employed,True,0.0,5583.333333,A64A3702853712780796A41,51.0,13000
867,2013-05-19 15:15:26.190,36,Current,0.1679,B,15,Administrative Assistant,Full-time,False,22.0,3706.333333,9C893682459732740C04A87,34.0,9500
872,2013-02-26 08:50:36.217,60,Current,0.1699,B,15,Administrative Assistant,Employed,False,0.0,5213.833333,98F7367560057830468876F,25.0,3100
878,2012-09-29 23:35:32.073,36,Completed,0.277,E,19,Other,Employed,True,8.0,6000.0,5B71366240849335927C21E,2.0,3000
886,2013-08-18 20:36:03.153,60,Current,0.2432,D,1,Construction,Employed,False,3.0,2083.333333,2E5A369096338260782F024,20.0,4000
890,2014-01-14 09:02:45.567,60,Current,0.1314,B,3,Other,Employed,True,0.0,14333.333333,FCD33704765587693A078D2,18.0,25000
892,2013-01-22 19:03:28.623,36,Current,0.1599,B,9,Other,Employed,False,0.0,20833.333333,2B8136731706499622BE89C,34.0,20000
893,2011-07-19 05:34:44.207,36,Chargedoff,0.2399,D,7,Nurse (LPN),Full-time,True,15.0,4130.416667,A835362442478592531558F,67.0,2200
898,2011-05-04 13:56:36.087,36,Completed,0.2899,E,1,Professional,Employed,True,0.0,9166.666667,872C36185876760188A7D3A,8.0,7500
901,2013-12-03 00:36:12.727,60,Current,0.1139,A,2,Professional,Employed,True,0.0,16666.666667,CF4E3699422327596A3BDAE,38.0,23695
909,2013-10-10 12:14:42.070,36,Current,0.3075,HR,1,Other,Employed,True,0.0,8250.0,4AC33695393278319CDC838,23.0,4000
919,2012-09-15 19:03:10.703,36,Current,0.0974,A,1,Medical Technician,Employed,False,0.0,3583.333333,A35A366347115557704F37A,22.0,14500
947,2012-06-22 10:59:51.177,36,Current,0.0964,A,13,Truck Driver,Full-time,True,0.0,3750.0,D0C63655062834921B28803,78.0,8000
952,2012-06-04 18:48:52.393,36,Completed,0.2287,D,1,Professional,Employed,False,1.0,10333.333333,C328365315861146351F75A,19.0,15000
963,2013-05-26 07:15:23.647,36,Current,0.1299,A,1,Retail Management,Employed,True,24.0,10000.0,F15336841624665531C63E5,11.0,3000
964,2013-11-25 07:05:22.763,36,Current,0.1274,B,1,Medical Technician,Employed,True,11.0,4583.333333,83C137004659362226E16E4,11.0,15000
970,2012-07-14 13:49:40.630,60,Current,0.261,D,1,Retail Management,Employed,True,0.0,5525.0,ABA73656867020538A4547E,9.0,13000
985,2013-08-09 10:18:38.177,60,Current,0.2916,E,2,Professional,Employed,True,3.0,5373.333333,49003689842077511986879,25.0,4000
1003,2013-09-06 13:27:12.037,36,Current,0.1099,A,2,Construction,Self-employed,True,0.0,41666.666667,D7033693337426893C5858C,11.0,4000
1007,2014-01-23 11:43:49.907,36,Current,0.2474,E,1,Retail Management,Employed,True,0.0,4916.666667,2212370534409725045F191,17.0,5000
1009,2011-04-06 13:51:20.827,36,Completed,0.3125,HR,7,Professional,Employed,False,0.0,6833.333333,9425361586975834664F02D,30.0,3000
1024,2012-05-24 07:35:52.213,36,Chargedoff,0.2287,D,13,Administrative Assistant,Full-time,False,0.0,2033.333333,098E3651078235821BB8560,46.0,2000
1026,2013-09-26 10:10:17.550,60,Current,0.2225,D,3,Accountant/CPA,Employed,True,0.0,3333.333333,FD5E3694158769589020FE4,30.0,10000
1033,2011-08-22 21:04:01.433,60,Current,0.2699,D,2,Clerical,Full-time,True,0.0,2681.0,D3083627448508387E5177C,32.0,10000
1044,2011-01-07 19:04:13.757,36,Completed,0.0829,A,6,Accountant/CPA,Employed,False,9.0,6233.333333,01C83616171220171F8132B,11.0,7500
1053,2014-02-01 05:30:33.523,36,Current,0.1139,A,2,Investor,Self-employed,False,0.0,8333.333333,715D370527006334108E4F8,28.0,15000
1055,2011-09-20 13:50:34.543,36,Past Due (31-60 days),0.1129,A,1,Sales - Commission,Full-time,True,0.0,10000.0,3D613631127316650FA2FEF,34.0,13000
1056,2010-02-10 17:13:28.713,36,Completed,0.071,AA,6,Other,Full-time,False,0.0,2500.0,BA113580263712312B710DE,11.0,2500
1057,2013-02-28 06:41:18.160,60,Current,0.2209,C,1,Sales - Commission,Employed,True,0.0,4166.666667,24513674892151825DB1610,23.0,10000
1063,2012-02-04 21:57:11.833,36,Past Due (1-15 days),0.2024,C,1,Other,Employed,False,15.0,2634.666667,031B36421629681657AB107,22.0,3000
1075,2013-12-30 22:17:10.323,60,Current,0.2554,E,1,Other,Employed,True,0.0,8333.333333,40EE370188974235435BF6E,14.0,4000
1079,2013-12-09 12:38:51.297,36,Current,0.0716,AA,1,Executive,Employed,False,0.0,7916.666667,F23F37008883514981A9476,4.0,20000
1085,2013-12-12 03:37:30.163,36,Current,0.0809,AA,1,Sales - Retail,Employed,True,0.0,2641.666667,BAEC3705172213314478F1A,6.0,8500
1087,2013-06-24 03:32:38.063,60,Current,0.1219,A,1,Other,Employed,True,0.0,2750.0,85AE3685444480423422A78,12.0,10000
1104,2014-01-30 15:13:04.020,36,Current,0.1435,B,1,Computer Programmer,Employed,True,0.0,8333.333333,806137042474761395E7263,11.0,15000
1111,2013-09-17 20:49:37.213,60,Current,0.2629,E,7,Professional,Employed,True,24.0,10000.0,1AA136940938061204CD908,13.0,5000
1112,2013-01-31 10:07:05.843,60,Completed,0.2398,C,1,Other,Employed,True,0.0,6250.0,5E4A36735436337487B314A,10.0,12000
1117,2011-02-12 15:29:23.787,36,Completed,0.2199,D,6,Engineer - Mechanical,Employed,True,0.0,5000.0,E4313613345492585A9705F,52.0,7500
1133,2013-05-30 11:46:00.740,60,Current,0.1334,A,13,Teacher,Full-time,True,0.0,5929.0,6F253683328889424FE7048,105.0,10000
1143,2013-06-21 07:59:57.640,60,Current,0.1769,B,1,Clerical,Employed,False,0.0,3333.333333,0C7536851987419926956DC,13.0,10000
1146,2011-03-20 18:48:50.907,60,Current,0.1329,A,1,Other,Employed,True,0.0,4633.333333,0B6936262502048104E4BC8,35.0,13000
1153,2013-12-13 01:35:00.870,36,Current,0.0769,AA,1,Other,Employed,True,0.0,6250.0,EB933702593523444EFA50C,17.0,8000
